;X;year;sex;mass;mom.age
1;1;1998;m;90.5;3
2;2;1998;f;77;3
3;3;1998;f;102;3
4;4;1998;f;131.7;3
5;5;1998;m;105.4;4
6;6;1998;f;106;4
7;7;1998;f;80;4
8;8;1998;m;110;4
9;9;1998;f;114;5
10;10;1998;m;97.5;5
11;11;1998;f;145.5;5
12;12;1998;f;124.6;6
13;13;1998;f;121.1;6
14;14;1998;f;147;6
15;15;1998;m;147.5;6
16;16;1998;f;110.5;7
17;17;1998;m;129.7;9
18;18;1998;m;125.5;9
19;19;1998;m;127.3;11
20;20;2002;f;92.7;3
21;21;2002;m;108;3
22;22;2002;f;76;3
23;23;2002;f;133.2;4
24;24;2002;m;119.1;5
25;25;2002;f;77;5
26;26;2002;f;97.9;5
28;28;2002;f;129;6
29;29;2002;f;141;6
30;30;2002;f;105;7
31;31;2002;m;132.2;8
32;32;2002;m;125;9
33;33;2002;f;164;9
34;34;2002;f;102;16
35;35;2006;f;67.2;3
36;36;2006;f;83.4;3
37;37;2006;m;103.4;3
38;38;2006;f;120.1;4
39;39;2006;m;124;4
40;40;2006;m;107.4;4
41;41;2006;m;108;4
42;42;2006;m;129.5;4
43;43;2006;f;110.5;5
44;44;2006;f;122;5
45;45;2006;f;146.9;6
46;46;2006;f;115;7
47;47;2006;m;134.8;8
48;48;2006;m;138.5;8
49;49;2006;m;127.1;10
50;50;2006;f;139;10
51;51;2006;m;147;12
52;52;2007;m;81.2;3
53;53;2007;f;73;3
54;54;2007;f;91;3
55;55;2007;m;77.7;4
56;56;2007;m;76;4
57;57;2007;f;124.1;4
58;58;2007;f;88.5;4
59;59;2007;f;121.5;4
60;60;2007;m;119.6;4
61;61;2007;m;106;5
62;62;2007;m;79.1;5
63;63;2007;m;117;5
64;64;2007;f;123.5;6
65;65;2007;f;109;6
66;66;2007;m;144.8;6
67;67;2007;f;118.5;6
68;68;2007;m;134.7;7
69;69;2007;m;117.1;7
70;70;2007;m;130.2;7
71;71;2007;f;118.1;8
72;72;2007;m;125.6;8
73;73;2007;m;150.4;9
74;74;2007;f;133.5;9
75;75;2007;m;116.1;10
76;76;2007;f;122;12
77;77;2007;f;139;13
78;78;2007;m;124.5;14
79;79;2007;m;122.6;15
80;80;2007;f;148.5;16
81;81;2007;f;117.6;17
82;82;2009;m;84;3
83;83;2009;m;88.8;3
84;84;2009;m;73;3
85;85;2009;f;109;4
86;86;2009;m;100;4
87;87;2009;m;110;4
88;88;2009;m;119.1;4
89;89;2009;m;92;4
90;90;2009;f;108;5
91;91;2009;f;118;5
92;92;2009;f;99;5
93;93;2009;m;113.5;5
94;94;2009;m;103;5
